Fecha;Vieron muro;Intención de pago;Ventas
28-feb-23;3,407;75;49
27-feb-23;5,047;58;54
26-feb-23;3,387;82;60
25-feb-23;2,842;89;35
24-feb-23;4,864;24;28
23-feb-23;5,105;24;41
22-feb-23;5,964;52;35
21-feb-23;12,058;73;56
20-feb-23;5,636;140;59
19-feb-23;5,028;80;81
18-feb-23;4,130;63;54
17-feb-23;5,009;93;44
16-feb-23;7,865;79;44
15-feb-23;5,785;58;50
14-feb-23;8,570;137;70
13-feb-23;12,560;89;57
12-feb-23;6,635;124;75
11-feb-23;13,424;65;45
10-feb-23;15,938;85;78
9-feb-23;25,004;76;27
8-feb-23;4,927;51;23
7-feb-23;4,536;32;41
6-feb-23;7,407;75;47
5-feb-23;4,960;121;74
4-feb-23;4,989;39;35
3-feb-23;3,933;84;49
2-feb-23;6,649;97;58
1-feb-23;2,789;62;65
31-ene-23;3,074;95;74
30-ene-23;4,058;78;66
29-ene-23;11,860;106;95
28-ene-23;1,554;67;55
27-ene-23;1,452;37;26
26-ene-23;912;47;29
25-ene-23;16,232;98;44
24-ene-23;21,525;78;57
23-ene-23;25,550;83;46
22-ene-23;17,241;85;64
21-ene-23;15,894;74;36
20-ene-23;15,542;36;31
19-ene-23;20,744;47;30
18-ene-23;24,763;37;29
17-ene-23;24,657;65;36
16-ene-23;19,967;51;34
15-ene-23;16,633;77;45
14-ene-23;13,424;63;30
13-ene-23;20,908;64;29
12-ene-23;18,452;44;24
11-ene-23;19,267;65;31
10-ene-23;24,672;52;36
9-ene-23;22,080;51;37
8-ene-23;20,753;99;40
7-ene-23;15,489;57;41
6-ene-23;21,173;50;35
5-ene-23;20,864;36;40
4-ene-23;16,478;60;37
3-ene-23;19,774;62;36
2-ene-23;20,541;61;11
1-ene-23;15,397;44;21
31-dic-22;14,490;40;21
30-dic-22;14,109;55;15
29-dic-22;16,213;32;31
28-dic-22;19,383;46;27
27-dic-22;18,239;39;35
26-dic-22;18,751;61;25
25-dic-22;14,138;46;20
24-dic-22;10,548;21;16
23-dic-22;15,605;31;24
22-dic-22;13,955;46;22
21-dic-22;17,685;32;29
20-dic-22;17,815;36;27
19-dic-22;10,114;49;36
18-dic-22;7,749;23;19
17-dic-22;8,850;70;35
16-dic-22;14,374;53;23
15-dic-22;16,131;51;20
14-dic-22;16,831;24;16
13-dic-22;15,417;53;20
12-dic-22;18,114;31;20
11-dic-22;13,023;49;33
10-dic-22;8,333;26;21
9-dic-22;12,811;26;24
8-dic-22;17,424;25;13
7-dic-22;20,647;46;21
6-dic-22;27,451;32;14
5-dic-22;40,460;53;33
4-dic-22;42,863;65;49
3-dic-22;14,321;43;32
2-dic-22;19,219;58;31
1-dic-22;18,457;65;22
30-nov-22;20,343;62;22
29-nov-22;25,936;65;34
28-nov-22;16,391;69;47
27-nov-22;17,516;100;66
26-nov-22;13,366;65;39
25-nov-22;17,588;58;55
24-nov-22;24,749;56;36
23-nov-22;21,994;54;36
22-nov-22;23,615;52;30
21-nov-22;21,231;49;33
20-nov-22;15,721;47;41
19-nov-22;14,809;38;26
18-nov-22;15,233;50;19
17-nov-22;26,722;61;42
16-nov-22;22,640;73;23
15-nov-22;22,843;37;28
14-nov-22;19,822;107;57
13-nov-22;23,311;65;38
12-nov-22;17,598;38;31
11-nov-22;22,949;47;39
10-nov-22;25,916;20;28
9-nov-22;24,951;48;24
8-nov-22;24,840;33;31
7-nov-22;21,796;46;52
6-nov-22;24,464;69;43
5-nov-22;17,762;29;25
4-nov-22;20,937;42;31
3-nov-22;21,323;68;38
2-nov-22;23,422;60;23
1-nov-22;25,328;32;25
31-oct-22;26,196;36;40
30-oct-22;23,166;42;43
29-oct-22;18,452;43;36
28-oct-22;20,213;59;30
27-oct-22;23,311;61;40
26-oct-22;25,883;47;28
25-oct-22;25,164;42;40
24-oct-22;20,063;101;34
23-oct-22;19,586;83;35
22-oct-22;18,404;24;19
21-oct-22;23,016;65;19
20-oct-22;25,270;49;25
19-oct-22;25,318;52;42
18-oct-22;26,674;49;24
17-oct-22;21,472;44;29
16-oct-22;21,989;61;38
15-oct-22;15,754;36;38
14-oct-22;23,263;70;33
13-oct-22;20,696;52;28
12-oct-22;19,180;62;43
11-oct-22;16,580;26;19
10-oct-22;19,610;53;35
9-oct-22;17,588;32;32
8-oct-22;12,739;30;14
7-oct-22;16,589;48;23
6-oct-22;22,809;74;28
5-oct-22;22,621;61;33
4-oct-22;23,108;53;25
3-oct-22;27,547;78;30
2-oct-22;18,944;54;27
1-oct-22;16,309;31;19
30-sep-22;14,891;45;19
29-sep-22;17,067;136;36
28-sep-22;17,438;24;18
27-sep-22;16,657;52;19
26-sep-22;21,887;43;18
25-sep-22;26,578;95;57
24-sep-22;19,369;28;43
23-sep-22;20,647;78;26
22-sep-22;15,417;172;59
21-sep-22;19,200;62;31
20-sep-22;24,097;79;54
19-sep-22;23,639;55;43
18-sep-22;18,384;183;137
17-sep-22;14,649;129;72
16-sep-22;16,140;83;73
15-sep-22;24,575;90;26
14-sep-22;22,959;132;23
13-sep-22;20,951;114;26
12-sep-22;19,948;47;38
11-sep-22;24,175;114;68
10-sep-22;16,179;23;19
9-sep-22;20,585;30;22
8-sep-22;22,355;24;26
7-sep-22;20,498;56;34
6-sep-22;25,429;36;44
5-sep-22;23,055;40;29
4-sep-22;24,146;50;53
3-sep-22;19,986;26;32
2-sep-22;23,629;36;29
1-sep-22;18,495;28;24
